,,,,,,,,,,,,,,,Per_game,Per_game,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Shot Data,Shot Data,Shot Data,Shot Data,
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Winnipeg Jets*,29.7,82,56,22,4,116,0.707,275,190,2,1,1.02,-0.03,3.35,2.32,63,218,28.9,41,199,79.4,4,4,7.2,7.9,2314,11.9,2229,0.915,10
2,Washington Capitals*,29.5,82,51,22,9,111,0.677,286,229,2,3,0.66,-0.03,3.49,2.79,52,221,23.53,43,239,82.01,8,7,9.5,8.9,2265,12.6,2229,0.897,3
3,Vegas Golden Knights*,29.4,82,50,22,10,110,0.671,274,214,1,5,0.65,-0.03,3.34,2.61,53,187,28.34,41,169,75.74,6,3,5.6,6.2,2482,11,2141,0.9,6
4,Toronto Maple Leafs*,29.4,82,52,26,4,108,0.659,267,229,1,2,0.44,-0.01,3.26,2.79,54,218,24.77,52,235,77.87,6,7,8,7.5,2297,11.6,2405,0.905,5
5,Dallas Stars*,28.5,82,50,26,6,106,0.646,275,222,2,2,0.61,-0.04,3.35,2.71,55,250,22,41,228,82.02,8,4,7,7.8,2325,11.8,2382,0.907,4
6,Los Angeles Kings*,29.4,82,48,25,9,105,0.64,249,203,1,3,0.5,-0.04,3.04,2.48,37,207,17.87,44,237,81.43,4,6,7.8,7.8,2302,10.8,2091,0.903,6
7,Tampa Bay Lightning*,29.7,82,47,27,8,102,0.622,292,216,2,3,0.89,-0.03,3.56,2.63,60,232,25.86,38,206,81.55,11,13,8.1,9.3,2341,12.5,2311,0.907,7
8,Colorado Avalanche*,28.7,82,49,29,4,102,0.622,273,231,4,3,0.5,-0.03,3.33,2.82,58,234,24.79,42,208,79.81,5,7,6.8,7.2,2451,11.1,2126,0.891,5
9,Edmonton Oilers*,30.4,82,48,29,5,101,0.616,259,235,0,1,0.26,-0.02,3.16,2.87,51,215,23.72,45,206,78.16,5,4,7.5,7.6,2622,9.9,2211,0.894,4
10,Carolina Hurricanes*,29.6,82,47,30,5,99,0.604,266,230,0,3,0.4,0,3.24,2.8,46,246,18.7,40,244,83.61,10,5,7.9,8.1,2599,10.2,2044,0.887,5
11,Florida Panthers*,29.6,82,47,31,4,98,0.598,246,223,6,0,0.35,-0.01,3,2.72,56,238,23.53,47,244,80.74,12,10,10.4,9.5,2588,9.5,2146,0.896,8
12,Minnesota Wild*,29.7,82,45,30,7,97,0.591,225,236,3,3,-0.13,0.01,2.74,2.88,43,206,20.87,56,203,72.41,4,4,7.6,7.5,2263,9.9,2427,0.903,6
13,Ottawa Senators*,28.2,82,45,30,7,97,0.591,242,232,1,2,0.11,-0.01,2.95,2.83,64,269,23.79,51,229,77.73,9,3,8.5,10,2403,10.1,2346,0.901,10
14,Calgary Flames,28.4,82,41,27,14,96,0.585,220,236,5,2,-0.17,-0.02,2.68,2.88,49,233,21.03,54,226,76.11,7,6,9.2,9.6,2414,9.1,2372,0.901,5
15,St. Louis Blues*,29.3,82,44,30,8,96,0.585,250,231,4,2,0.25,-0.01,3.05,2.82,43,195,22.05,49,191,74.35,4,5,7.5,8.2,2185,11.4,2236,0.897,4
16,Montreal Canadiens*,26.9,82,40,31,11,91,0.555,243,261,2,4,-0.23,0.02,2.96,3.18,47,234,20.09,49,257,80.93,9,6,9.3,8.3,2095,11.6,2383,0.89,5
17,New Jersey Devils*,29.6,82,42,33,7,91,0.555,240,220,2,2,0.24,-0.01,2.93,2.68,61,216,28.24,39,225,82.67,7,4,8.4,7.5,2303,10.4,2160,0.898,9
18,Vancouver Canucks,28.6,82,38,30,14,90,0.549,233,251,3,2,-0.22,-0.01,2.84,3.06,50,222,22.52,39,224,82.59,4,7,9.3,9.1,2094,11.1,2198,0.886,5
19,Columbus Blue Jackets,27.6,82,40,33,9,89,0.543,267,267,6,1,0.06,0,3.26,3.26,36,185,19.46,50,217,76.96,9,7,8.2,7.5,2382,11.2,2453,0.891,4
20,Utah Hockey Club,27.7,82,38,31,13,89,0.543,240,247,1,4,-0.11,0.01,2.93,3.01,57,236,24.15,52,251,79.28,4,8,9.6,9.5,2339,10.3,2271,0.891,2
21,Detroit Red Wings,29.5,82,39,35,8,86,0.524,235,259,3,0,-0.23,0.02,2.87,3.16,64,237,27,55,184,70.11,2,7,6.8,8.2,2249,10.4,2335,0.889,4
22,New York Rangers,28.9,82,39,36,7,85,0.518,255,255,1,0,0.01,0,3.11,3.11,37,210,17.62,47,239,80.33,18,7,8.4,7.6,2344,10.9,2451,0.896,9
23,New York Islanders,29.7,82,35,35,12,82,0.5,222,257,2,3,-0.43,0.01,2.71,3.13,26,207,12.56,50,180,72.22,9,8,5.7,6.5,2418,9.2,2356,0.891,4
24,Pittsburgh Penguins,30.9,82,34,36,12,80,0.488,242,287,1,6,-0.59,0.02,2.95,3.5,57,221,25.79,48,216,77.78,5,5,6.8,7.3,2323,10.4,2470,0.884,3
25,Anaheim Ducks,27.4,82,35,37,10,80,0.488,217,261,4,2,-0.49,0.03,2.65,3.18,26,221,11.76,64,248,74.19,3,6,8.9,7.8,2270,9.6,2648,0.901,1
26,Buffalo Sabres,26.1,82,36,39,7,79,0.482,265,287,4,2,-0.24,0.01,3.23,3.5,43,229,18.78,57,241,76.35,10,8,10.2,9.6,2278,11.6,2368,0.879,3
27,Boston Bruins,28.1,82,33,39,10,76,0.463,222,271,0,1,-0.57,0.04,2.71,3.3,35,230,15.22,56,236,76.27,6,13,9.8,9.4,2173,10.2,2346,0.884,7
28,Seattle Kraken,28.9,82,35,41,6,76,0.463,245,262,2,3,-0.23,-0.01,2.99,3.2,43,227,18.94,44,193,77.2,3,4,7.1,7.9,2243,10.9,2342,0.888,2
29,Philadelphia Flyers,26.8,82,33,39,10,76,0.463,232,283,6,3,-0.56,0.02,2.83,3.45,32,214,14.95,45,201,77.61,4,10,7.3,7.4,2212,10.5,2210,0.872,3
30,Nashville Predators,29.9,82,30,44,8,68,0.415,212,274,2,0,-0.69,0.04,2.59,3.34,50,229,21.83,45,243,81.48,1,5,9.8,9.2,2403,8.8,2342,0.883,4
31,Chicago Blackhawks,28.1,82,25,46,11,61,0.372,224,292,2,4,-0.83,0.03,2.73,3.56,47,189,24.87,47,227,79.3,6,7,8.6,7.2,2005,11.2,2550,0.885,0
32,San Jose Sharks,27.2,82,20,50,12,52,0.317,208,310,2,5,-1.24,0.04,2.54,3.78,42,226,18.58,66,256,74.22,5,8,8.7,8.6,2203,9.4,2606,0.881,1
,League Average,28.8,82,41,33,8,90,0.552,247,247,,,,,,,48,222,21.64,48,222,78.36,7,7,8.2,8.2,2318,10.7,2318,0.893,5
