,,Shot Data,Shot Data,Shot Data,Corsi (5v5),Corsi (5v5),Corsi (5v5),Fenwick (5v5),Fenwick (5v5),Fenwick (5v5),Possession Quality,Possession Quality,Possession Quality,Possession Quality,Possession Quality,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances
Rk,,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Vegas Golden Knights*,9,0.926,101.6,2643,2308,53.4,1911,1657,53.6,131,112.9,134,96,20,879,554,61.3,266,150,63.9,40,13.1,24,13.8
2,Colorado Avalanche*,8.3,0.921,100.4,2757,1908,59.1,2006,1415,58.6,131.3,89.9,131,88,2,870,419,67.5,235,102,69.7,27,10.3,12,10.5
3,Carolina Hurricanes*,7.1,0.937,100.8,2541,2180,53.8,1914,1666,53.5,121.2,111.8,105,81,15,776,566,57.8,205,136,60.1,16,7.2,13,8.7
4,Florida Panthers*,7.4,0.927,100.1,2392,2066,53.7,1864,1594,53.9,131.7,104.9,114,95,-8,756,528,58.9,203,140,59.2,31,13.2,22,13.6
5,Washington Capitals*,9.3,0.921,101.4,2350,2291,50.6,1772,1754,50.3,110.1,102.2,131,107,16,722,478,60.2,189,111,63,22,10.4,16,12.6
6,Toronto Maple Leafs*,9,0.927,101.7,2370,2281,51,1821,1701,51.7,138.2,105.8,131,95,4,833,539,60.7,206,131,61.1,38,15.6,15,10.3
7,Pittsburgh Penguins*,8.8,0.928,101.6,2250,2202,50.5,1722,1678,50.6,112,113.8,123,98,27,505,656,43.5,122,194,38.6,24,16.4,26,11.8
8,Tampa Bay Lightning*,8,0.928,100.8,2231,2026,52.4,1702,1558,52.2,117.1,108.9,109,92,9,511,691,42.5,136,177,43.5,27,16.6,22,11.1
9,Minnesota Wild*,9.7,0.923,102,2114,2465,46.2,1625,1820,47.2,110.6,107.4,126,107,16,659,522,55.8,188,127,59.7,35,15.7,22,14.8
10,Boston Bruins*,6.9,0.925,99.4,2492,2103,54.2,1957,1588,55.2,114.4,96.4,106,91,-3,567,604,48.4,140,163,46.2,18,11.4,21,11.4
11,Edmonton Oilers*,8.1,0.92,100.2,2328,2429,48.9,1735,1808,49,115.3,118.6,112,115,0,468,818,36.4,121,223,35.2,18,12.9,27,10.8
12,New York Islanders*,7.9,0.935,101.4,2271,2406,48.6,1715,1757,49.4,124.3,106.6,110,88,4,541,670,44.7,140,157,47.1,17,10.8,19,10.8
13,Nashville Predators*,7.4,0.937,101.1,2313,2329,49.8,1805,1758,50.7,112.5,117.4,104,90,19,497,703,41.4,97,169,36.5,14,12.6,20,10.6
14,St. Louis Blues*,7.9,0.919,99.8,2140,2342,47.7,1580,1739,47.6,97.1,108.1,102,110,3,479,724,39.8,120,194,38.2,20,14.3,27,12.2
15,Winnipeg Jets*,8.1,0.928,101,2210,2386,48.1,1649,1789,48,106.7,125.2,107,98,28,686,625,52.3,172,172,50,25,12.7,15,8
16,Dallas Stars,7.1,0.925,99.6,2424,2172,52.7,1784,1616,52.5,115.3,96.9,99,91,-10,714,492,59.2,182,115,61.3,25,12.1,22,16.1
17,New York Rangers,8.7,0.925,101.2,2150,2418,47.1,1655,1827,47.5,104.7,114.7,116,106,20,677,519,56.6,187,133,58.4,25,11.8,17,11.3
18,Montreal Canadiens*,7,0.919,99,2610,2185,54.4,1888,1629,53.7,117.9,101.1,103,101,-15,752,557,57.4,216,146,59.7,28,11.5,25,14.6
19,Philadelphia Flyers,7.8,0.903,98.1,2368,2189,52,1771,1669,51.5,107.4,107.1,107,132,-25,695,483,59,193,121,61.5,30,13.5,16,11.7
