,,Shot Data,Shot Data,Shot Data,Corsi (5v5),Corsi (5v5),Corsi (5v5),Fenwick (5v5),Fenwick (5v5),Fenwick (5v5),Possession Quality,Possession Quality,Possession Quality,Possession Quality,Possession Quality,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances
20,Chicago Blackhawks,7.6,0.92,99.6,2138,2519,45.9,1547,1887,45,114.5,137.3,99,124,-2,654,648,50.2,167,159,51.2,25,13,23,12.6
21,Calgary Flames,8.1,0.92,100.1,2371,2102,53,1793,1613,52.6,114.2,103.8,111,103,-2,655,527,55.4,176,136,56.4,21,10.7,25,15.5
22,Arizona Coyotes,7.7,0.918,99.5,2243,2380,48.5,1684,1788,48.5,103.8,121.9,98,115,1,553,803,40.8,139,210,39.8,19,12,30,12.5
23,Ottawa Senators,7.7,0.914,99,2395,2518,48.7,1806,1888,48.9,104.5,118.8,105,129,-10,515,803,39.1,129,212,37.8,17,11.6,30,12.4
24,Vancouver Canucks,7.5,0.917,99.3,2214,2597,46,1675,1939,46.3,111.5,135,100,128,-5,658,698,48.5,177,177,50,28,13.7,38,17.7
25,Los Angeles Kings,7.3,0.916,98.9,2206,2385,48.1,1686,1802,48.3,105.5,125.9,96,118,-2,677,648,51.1,175,188,48.2,27,13.4,14,6.9
26,San Jose Sharks,7.5,0.91,98.6,2330,2537,47.9,1758,1894,48.1,125.2,119.2,103,134,-37,604,789,43.4,167,233,41.8,22,11.6,37,13.7
27,Detroit Red Wings,7,0.926,99.5,1979,2391,45.3,1521,1832,45.4,100.2,118.7,85,108,-5,575,554,50.9,143,128,52.8,23,13.9,19,12.9
28,Columbus Blue Jackets,6.8,0.919,98.7,2236,2571,46.5,1714,1940,46.9,104.2,120.9,94,128,-17,480,781,38.1,106,215,33,12,10.2,32,13
29,New Jersey Devils,7.4,0.917,99.1,2366,2327,50.4,1787,1835,49.3,111.2,121.7,101,122,-11,560,688,44.9,146,182,44.5,19,11.5,29,13.7
30,Anaheim Ducks,7.9,0.915,99.3,2290,2398,48.8,1677,1812,48.1,101.4,120.6,100,122,-3,539,801,40.2,146,232,38.6,18,11,42,15.3
31,Buffalo Sabres,6.4,0.915,97.9,2189,2500,46.7,1720,1991,46.3,105.2,126.7,86,136,-29,527,696,43.1,149,205,42.1,19,11.3,30,12.8
