Season,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G
2024-25,Los Angeles Lakers,27.9,50,32,44,38,1.22,0.23,1.45,115.9,114.7,1.2,97.6,0.271,0.425,0.593,0.557,12.7,23.3,0.213,Crypto.com Arena,767626,18723
2024-25,Memphis Grizzlies,24.7,48,34,52,30,4.85,-0.06,4.79,117.7,113,4.7,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,FedEx Forum,683067,16660
2024-25,Miami Heat,26.8,37,45,42,40,0.56,-0.45,0.11,113.5,112.9,0.6,96.2,0.232,0.429,0.576,0.544,12.4,22.3,0.183,Kaseya Center,808337,19716
2024-25,Milwaukee Bucks,29.3,48,34,47,35,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.268,0.424,0.598,0.568,12.2,19.3,0.201,Fiserv Forum,732014,17437
2024-25,Minnesota Timberwolves,27.2,49,33,53,29,5,0.15,5.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,0.554,13,25.8,0.196,Target Center,772249,18835
2024-25,New Orleans Pelicans,25.9,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,0.519,12.8,26.3,0.184,Smoothie King Center,689400,16815
2024-25,New York Knicks,27.5,51,31,51,31,4.1,-0.51,3.59,118.5,114.3,4.2,96.7,0.232,0.382,0.589,0.556,11.9,26,0.186,Madison Square Garden (IV),811794,19800
2024-25,Oklahoma City Thunder,24.8,68,14,68,14,12.87,-0.16,12.7,120.3,107.5,12.8,100,0.22,0.419,0.593,0.56,10.3,24.2,0.18,Paycom Center,754832,17973
2024-25,Orlando Magic,24.9,41,41,41,41,-0.12,-0.58,-0.7,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,0.51,12.9,25.3,0.208,Kia Center,762121,18588
2024-25,Philadelphia 76ers,27.1,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,0.527,12.3,23.4,0.201,Wells Fargo Center,813621,19844
2024-25,Phoenix Suns,29.1,36,46,34,48,-3,0.45,-2.55,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0.561,12.8,22.6,0.195,Footprint Center,699911,17071
2024-25,Portland Trail Blazers,23.8,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,-3,98.8,0.246,0.418,0.555,0.521,13.8,29.2,0.187,Moda Center,719369,17546
2024-25,Sacramento Kings,27.8,40,42,42,40,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0.548,11.8,25.4,0.19,Golden 1 Center,696409,16986
2024-25,San Antonio Spurs,26,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,0.544,12.3,24.3,0.181,Frost Bank Center,731474,17976
2024-25,Toronto Raptors,24.5,30,52,30,52,-4.29,-0.11,-4.4,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,0.522,13.3,27.3,0.173,Scotiabank Arena,768573,18746
2024-25,Utah Jazz,23.9,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100,0.252,0.449,0.568,0.533,14.9,26.9,0.195,Delta Center,745175,18175
2024-25,Washington Wizards,23.5,18,64,15,67,-12.44,0.3,-12.14,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,0.512,13.6,22.7,0.178,Capital One Arena,663691,16084
2023-24,Atlanta Hawks,26.2,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,State Farm Arena,696418,16986
2023-24,Boston Celtics,28.2,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,0.578,10.8,24.9,0.18,TD Garden,785396,19156
2023-24,Brooklyn Nets,26.1,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,Barclays Center,720291,17568
2023-24,Charlotte Hornets,25.1,21,61,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,Spectrum Center,674400,16449
2023-24,Chicago Bulls,28.1,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,United Center,845620,20625
2023-24,Cleveland Cavaliers,26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,Rocket Mortgage Fieldhouse,793167,19432
2023-24,Dallas Mavericks,26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,American Airlines Center,828897,20217
2023-24,Denver Nuggets,27.1,57,25,54,28,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,Ball Arena,807062,19684
2023-24,Detroit Pistons,23.8,14,68,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,Little Caesars Arena,726378,18159
2023-24,Golden State Warriors,28.4,46,36,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,Chase Center,740624,18064
2023-24,Houston Rockets,25.1,41,41,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,0.529,11.2,25.1,0.199,Toyota Center,720045,17562
2023-24,Indiana Pacers,25.3,47,35,48,34,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,Gainbridge Fieldhouse,677554,16526
2023-24,Los Angeles Clippers,30.4,51,31,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,Crypto.com Arena,776782,18946
2023-24,Los Angeles Lakers,28,47,35,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,Crypto.com Arena,793945,18925
2023-24,Memphis Grizzlies,24.4,27,55,24,58,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,FedEx Forum,681875,16631
2023-24,Miami Heat,28,46,36,46,36,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,Kaseya Center,809743,19750
2023-24,Milwaukee Bucks,30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,Fiserv Forum,740850,17659
2023-24,Minnesota Timberwolves,27.2,56,26,57,25,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,Target Center,738984,18024
2023-24,New Orleans Pelicans,26,49,33,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,Smoothie King Center,692054,17301
2023-24,New York Knicks,26.4,50,32,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,Madison Square Garden (IV),808885,19729
2023-24,Oklahoma City Thunder,23.4,57,25,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,Paycom Center,715509,17451
2023-24,Orlando Magic,24,47,35,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,Kia Center,773939,18849
2023-24,Philadelphia 76ers,28.4,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,Wells Fargo Center,821714,20042
2023-24,Phoenix Suns,29.3,49,33,49,33,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,Footprint Center,699911,17071
2023-24,Portland Trail Blazers,24.1,21,61,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,Moda Center,751395,18327
2023-24,Sacramento Kings,26.4,46,36,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,Golden 1 Center,735015,17927
2023-24,San Antonio Spurs,23,22,60,26,56,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,Frost Bank Center,742522,18211
2023-24,Toronto Raptors,25.9,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,Scotiabank Arena,800129,19515
2023-24,Utah Jazz,25.1,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,Delta Center,746446,18206
