,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,29,25.9,53.5,38,418,"3,420",38,53,38,91,47,6,6,49,5,1.39,1,2.39,1.24,2.24
Aston Villa,24,25.2,48.5,38,418,"3,420",38,52,38,90,47,5,6,71,4,1.37,1,2.37,1.24,2.24
Brighton,27,25.8,51.1,38,418,"3,420",38,39,24,63,33,6,9,49,6,1.03,0.63,1.66,0.87,1.5
Burnley,25,28.3,42.1,38,418,"3,420",38,32,20,52,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29
Chelsea,27,26,60.9,38,418,"3,420",38,56,38,94,48,8,10,51,3,1.47,1,2.47,1.26,2.26
Crystal Palace,24,29.1,40.6,38,418,"3,420",38,39,29,68,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71
Everton,29,26.3,46.4,38,418,"3,420",38,45,32,77,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92
Fulham,28,25.2,49.7,38,418,"3,420",38,26,18,44,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08
Leeds United,23,26.1,57.3,38,418,"3,420",38,60,45,105,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66
Leicester City,27,26.5,54.3,38,418,"3,420",38,64,45,109,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61
Liverpool,28,26.8,62.1,38,418,"3,420",38,65,43,108,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68
Manchester City,24,26.1,63.5,38,418,"3,420",38,82,55,137,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47
Manchester Utd,29,25.6,55.7,38,418,"3,420",38,70,51,121,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92
Newcastle United,27,27.1,38.8,38,418,"3,420",38,44,26,70,38,6,7,65,3,1.16,0.68,1.84,1,1.68
Sheffield United,27,26.7,41.7,38,418,"3,420",38,19,13,32,16,3,4,73,3,0.5,0.34,0.84,0.42,0.76
Southampton,29,26.6,52,38,418,"3,420",38,47,33,80,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97
Tottenham Hotspur,24,27.2,51.6,38,418,"3,420",38,66,50,116,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92
West Bromwich Albion,30,26.4,37.9,38,418,"3,420",38,33,20,53,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29
West Ham United,24,27.8,43.2,38,418,"3,420",38,60,46,106,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74
Wolves,27,26.3,49.3,38,418,"3,420",38,34,21,55,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34
