,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,24.4,52.8,38,418,"3,420",38,60,41,101,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53
Aston Villa,31,26.1,46.5,38,418,"3,420",38,50,42,92,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34
Brentford,29,25.4,44.8,38,418,"3,420",38,46,33,79,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92
Brighton,26,26.2,54.4,38,418,"3,420",38,40,30,70,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74
Burnley,23,28.5,40.2,38,418,"3,420",38,32,26,58,31,1,2,68,2,0.84,0.68,1.53,0.82,1.5
Chelsea,26,27.4,61.8,38,418,"3,420",38,75,52,127,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13
Crystal Palace,24,27.1,51.1,38,418,"3,420",38,50,31,81,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97
Everton,33,26.7,40,38,418,"3,420",38,42,29,71,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71
Leeds United,29,26.1,52.3,38,418,"3,420",38,42,26,68,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66
Leicester City,28,26.5,52,38,418,"3,420",38,62,46,108,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79
Liverpool,27,27.7,62.7,38,418,"3,420",38,94,71,165,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16
Manchester City,26,27,67.9,38,418,"3,420",38,96,63,159,89,7,9,42,1,2.53,1.66,4.18,2.34,4
Manchester Utd,29,27.2,52.7,38,418,"3,420",38,56,46,102,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61
Newcastle United,29,27.5,40.4,38,418,"3,420",38,41,23,64,38,3,3,81,2,1.08,0.61,1.68,1,1.61
Norwich City,28,26.2,42.9,38,418,"3,420",38,21,16,37,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89
Southampton,25,25.7,47.7,38,418,"3,420",38,41,26,67,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66
Tottenham Hotspur,25,26.5,51.8,38,418,"3,420",38,63,50,113,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84
Watford,30,28.4,40.7,38,418,"3,420",38,33,26,59,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53
West Ham United,25,28.2,47.9,38,418,"3,420",38,58,46,104,54,4,6,52,3,1.53,1.21,2.74,1.42,2.63
Wolves,26,27.3,49.5,38,418,"3,420",38,35,22,57,34,1,1,62,2,0.92,0.58,1.5,0.89,1.47
