,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Arsenal,25,26.3,41.8,38,418,"3,420",38,28,20,48,26,2,3,82,2,0.74,0.53,1.26,0.68,1.21
vs Aston Villa,31,26.2,46.9,38,418,"3,420",38,57,45,102,56,1,2,94,4,1.5,1.18,2.68,1.47,2.66
vs Bournemouth,30,26.2,55.6,38,418,"3,420",38,66,44,110,60,6,7,82,2,1.74,1.16,2.89,1.58,2.74
vs Brentford,28,26.1,54.8,38,418,"3,420",38,65,50,115,63,2,2,75,4,1.71,1.32,3.03,1.66,2.97
vs Brighton,30,26.3,40.2,38,418,"3,420",38,60,42,102,54,6,6,99,5,1.58,1.11,2.68,1.42,2.53
vs Burnley,31,26.3,52.6,38,418,"3,420",38,75,54,129,69,6,7,84,3,1.97,1.42,3.39,1.82,3.24
vs Chelsea,32,26.3,41.4,38,418,"3,420",38,60,43,103,57,3,5,100,4,1.58,1.13,2.71,1.5,2.63
vs Crystal Palace,26,26.3,57.7,38,418,"3,420",38,56,46,102,53,3,3,78,2,1.47,1.21,2.68,1.39,2.61
vs Everton,26,26.3,59.2,38,418,"3,420",38,48,30,78,40,8,8,61,2,1.26,0.79,2.05,1.05,1.84
vs Fulham,25,26.1,49.4,38,418,"3,420",38,57,36,93,49,8,8,65,0,1.5,0.95,2.45,1.29,2.24
vs Liverpool,30,26.2,38.7,38,418,"3,420",38,39,27,66,38,1,1,98,4,1.03,0.71,1.74,1,1.71
vs Luton Town,28,26.5,57.6,38,418,"3,420",38,81,57,138,77,4,4,73,2,2.13,1.5,3.63,2.03,3.53
vs Manchester City,25,26.4,34.8,38,418,"3,420",38,33,23,56,30,3,3,93,2,0.87,0.61,1.47,0.79,1.39
vs Manchester Utd,31,26.2,49.4,38,418,"3,420",38,57,39,96,50,7,7,85,1,1.5,1.03,2.53,1.32,2.34
vs Newcastle United,32,26.2,47.8,38,418,"3,420",38,61,47,108,57,4,5,97,3,1.61,1.24,2.84,1.5,2.74
vs Nottingham Forest,33,26.4,59.4,38,418,"3,420",38,65,48,113,61,4,4,81,7,1.71,1.26,2.97,1.61,2.87
vs Sheffield United,35,26.4,64.2,38,418,"3,420",38,97,75,172,92,5,7,53,2,2.55,1.97,4.53,2.42,4.39
vs Tottenham Hotspur,29,26.4,38.4,38,418,"3,420",38,58,39,97,51,7,7,100,4,1.53,1.03,2.55,1.34,2.37
vs West Ham United,26,26.1,58.9,38,418,"3,420",38,70,51,121,62,8,10,71,2,1.84,1.34,3.18,1.63,2.97
vs Wolves,27,26.4,51.1,38,418,"3,420",38,64,43,107,56,8,8,84,3,1.68,1.13,2.82,1.47,2.61
