,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Arsenal,29,26.7,46.2,38,418,"3,420",38,35,25,60,33,2,3,74,2,0.92,0.66,1.58,0.87,1.53
vs Aston Villa,24,26.7,51.9,38,418,"3,420",38,45,30,75,40,5,6,73,7,1.18,0.79,1.97,1.05,1.84
vs Brighton,27,26.4,48.7,38,418,"3,420",38,44,30,74,38,6,7,51,2,1.16,0.79,1.95,1,1.79
vs Burnley,25,26.6,58.3,38,418,"3,420",38,54,47,101,51,3,3,32,2,1.42,1.24,2.66,1.34,2.58
vs Chelsea,27,26.3,38.6,38,418,"3,420",38,35,26,61,32,3,4,56,3,0.92,0.68,1.61,0.84,1.53
vs Crystal Palace,24,26.4,59.9,38,418,"3,420",38,66,47,113,63,3,4,44,4,1.74,1.24,2.97,1.66,2.89
vs Everton,29,26.4,53.5,38,418,"3,420",38,47,33,80,44,3,4,66,1,1.24,0.87,2.11,1.16,2.03
vs Fulham,28,26.6,50.1,38,418,"3,420",38,52,34,86,45,7,7,40,1,1.37,0.89,2.26,1.18,2.08
vs Leeds United,23,26.5,42.4,38,418,"3,420",38,52,36,88,44,8,9,49,2,1.37,0.95,2.32,1.16,2.11
vs Leicester City,27,26.5,45.4,38,418,"3,420",38,48,29,77,44,4,4,61,1,1.26,0.76,2.03,1.16,1.92
vs Liverpool,28,26.6,37.6,38,418,"3,420",38,42,29,71,38,4,8,56,2,1.11,0.76,1.87,1,1.76
vs Manchester City,24,26.4,36.1,38,418,"3,420",38,31,17,48,23,8,10,61,2,0.82,0.45,1.26,0.61,1.05
vs Manchester Utd,29,26.6,44.2,38,418,"3,420",38,42,28,70,38,4,4,64,3,1.11,0.74,1.84,1,1.74
vs Newcastle United,27,26.6,61.8,38,418,"3,420",38,59,41,100,55,4,5,60,3,1.55,1.08,2.63,1.45,2.53
vs Sheffield United,27,26.7,58.5,38,418,"3,420",38,60,45,105,57,3,4,39,1,1.58,1.18,2.76,1.5,2.68
vs Southampton,29,26.5,47.8,38,418,"3,420",38,67,44,111,59,8,9,58,3,1.76,1.16,2.92,1.55,2.71
vs Tottenham Hotspur,24,26.5,48.3,38,418,"3,420",38,42,24,66,32,10,10,77,1,1.11,0.63,1.74,0.84,1.47
vs West Bromwich Albion,30,26.6,62.4,38,418,"3,420",38,73,52,125,66,7,11,50,1,1.92,1.37,3.29,1.74,3.11
vs West Ham United,24,26.6,57.1,38,418,"3,420",38,43,34,77,40,3,5,52,1,1.13,0.89,2.03,1.05,1.95
vs Wolves,27,26.6,50.7,38,418,"3,420",38,49,34,83,42,7,8,62,6,1.29,0.89,2.18,1.11,2
