,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Arsenal,27,26.9,46.8,38,418,"3,420",38,47,33,80,42,5,6,69,3,1.24,0.87,2.11,1.11,1.97
vs Aston Villa,31,26.7,53.5,38,418,"3,420",38,52,35,87,48,4,6,83,1,1.37,0.92,2.29,1.26,2.18
vs Brentford,29,26.8,55.5,38,418,"3,420",38,54,41,95,49,5,5,50,3,1.42,1.08,2.5,1.29,2.37
vs Brighton,26,26.9,45.3,38,418,"3,420",38,44,34,78,41,3,4,80,0,1.16,0.89,2.05,1.08,1.97
vs Burnley,23,26.7,60.2,38,418,"3,420",38,51,36,87,46,5,5,44,0,1.34,0.95,2.29,1.21,2.16
vs Chelsea,26,26.7,37.7,38,418,"3,420",38,32,20,52,26,6,6,69,4,0.84,0.53,1.37,0.68,1.21
vs Crystal Palace,24,26.8,49.1,38,418,"3,420",38,44,30,74,41,3,4,74,3,1.16,0.79,1.95,1.08,1.87
vs Everton,33,26.8,60.3,38,418,"3,420",38,61,46,107,59,2,2,72,0,1.61,1.21,2.82,1.55,2.76
vs Leeds United,29,26.9,47.5,38,418,"3,420",38,78,59,137,73,5,5,74,3,2.05,1.55,3.61,1.92,3.47
vs Leicester City,28,26.8,47.9,38,418,"3,420",38,58,36,94,51,7,9,60,0,1.53,0.95,2.47,1.34,2.29
vs Liverpool,27,26.7,36.7,38,418,"3,420",38,25,18,43,25,0,0,63,3,0.66,0.47,1.13,0.66,1.13
vs Manchester City,26,26.9,31.5,38,418,"3,420",38,26,23,49,25,1,1,68,3,0.68,0.61,1.29,0.66,1.26
vs Manchester Utd,29,27,47.1,38,418,"3,420",38,54,41,95,51,3,5,48,1,1.42,1.08,2.5,1.34,2.42
vs Newcastle United,29,26.8,60.1,38,418,"3,420",38,60,43,103,55,5,6,75,3,1.58,1.13,2.71,1.45,2.58
vs Norwich City,28,26.8,57.5,38,418,"3,420",38,82,57,139,73,9,12,62,2,2.16,1.5,3.66,1.92,3.42
vs Southampton,25,26.8,52.1,38,418,"3,420",38,65,47,112,63,2,2,64,1,1.71,1.24,2.95,1.66,2.89
vs Tottenham Hotspur,25,26.8,48,38,418,"3,420",38,39,29,68,37,2,2,83,6,1.03,0.76,1.79,0.97,1.74
vs Watford,30,26.8,59.7,38,418,"3,420",38,74,56,130,68,6,7,64,1,1.95,1.47,3.42,1.79,3.26
vs West Ham United,25,26.8,52.2,38,418,"3,420",38,49,38,87,47,2,6,49,3,1.29,1,2.29,1.24,2.24
vs Wolves,26,26.7,50.4,38,418,"3,420",38,42,23,65,33,9,10,90,3,1.11,0.61,1.71,0.87,1.47
